Finnish-fi,Valence,Arousal,Dominance,English,Finnish-bf
pitkittäinen,0.084,-0.204,0.164,longitudinal,pitkittäinen
pitkulainen,0.122,-0.09,-0.26,oblong,pitkulainen
pitkä,0.082,-0.294,0.086,long,pitkä
pitkä,0.45,0.182,0.076,tall,pitkä
pitkäaikainen,-0.276,-0.116,0.092,longtime,pitkäaikainen
pitkähkö,0.14,-0.316,0.056,lengthy,pitkähkö
pitkäikäisyys,0.5,-0.294,0.49,longevity,pitkäikäisyys
pitkällinen,0.184,0.018,0.16,protracted,pitkällinen
pitkäveteisyys,-0.552,-0.338,-0.404,tedium,pitkäveteisyys
pitkävihainen,-0.188,0.26,0.586,unforgiving,pitkävihainen
pito,0.04,0.098,0.204,grip,pito
pito,0.184,-0.44,0.446,keeping,pito
pitoisuus,0.528,-0.408,0.118,content,pitoisuus
pitopalvelu,0.1,0.114,0.288,caterer,pitopalvelu
pitsi,0.25,-0.6,-0.414,lace,pitsi
pituus,-0.042,-0.384,0.066,length,pituus
pituus,-0.06,-0.294,0.328,stature,pituus
pituusaste,-0.042,-0.38,0.032,longitude,pituusaste
pituuspiiri,0.02,-0.352,0.116,meridian,pituuspiiri
pitäisi,-0.124,0.022,-0.132,ought,pitää
pitävä,0.482,-0.176,0.272,tenable,pitävä
pitää,-0.104,-0.42,-0.272,hold,pitää
pitää,0.428,-0.408,0.094,keep,pitää
piukka,-0.2,0.274,0.206,slinky,piukka
pizza,0.694,-0.22,-0.41,pizza,pizza
pizzeria,0.438,0.04,-0.272,pizzeria,pizzeria
plagiointi,-0.73,0.432,-0.128,plagiarism,plagiointi
plakki,0.04,-0.334,-0.16,plaque,plakki
planeetta,0.396,-0.192,0.664,planet,planeetta
planeettojen,0.208,0.0,0.24,planetary,planeetta
planetaario,0.408,-0.076,0.31,planetarium,planetaario
plankton,0.104,-0.358,-0.258,plankton,plankton
plantaasi,0.146,0.17,0.15,plantation,plantaasi
plasebo,0.04,-0.388,-0.27,placebo,plasebo
plasma,-0.052,-0.204,-0.28,plasma,plasma
plastisuus,0.084,-0.058,-0.196,plasticity,plastisuus
platina,0.5,0.036,0.404,platinum,platina
platoninen,-0.02,-0.078,-0.062,platonic,platoninen
playboy,0.292,0.8,0.038,playboy,playboy
plutonium,-0.188,0.35,0.462,plutonium,plutonium
pneumaattinen,-0.326,0.04,0.0,pneumatic,pneumaattinen
pohatta,0.364,0.192,0.734,tycoon,pohatta
pohja,0.27,-0.404,0.106,base,pohja
pohja,-0.166,-0.26,-0.418,bottom,pohja
pohja,-0.146,-0.612,-0.442,sole,pohja
pohjamaa,-0.142,-0.52,-0.236,subsoil,pohjamaa
pohjamaalattu,0.27,-0.196,0.518,primed,pohjamaalattu
pohjamaali,0.25,-0.274,0.376,primer,pohjamaali
pohjaton,-0.5,0.42,0.196,abysmal,pohjaton
pohjaton,-0.38,-0.06,-0.264,bottomless,pohjaton
pohjavirta,-0.286,0.164,0.04,undercurrent,pohjavirta
pohjimmiltaan,0.306,-0.118,0.518,fundamentally,pohjimmiltaan
pohjoinen,0.164,-0.304,-0.2,boreal,pohjoinen
pohjoinen,0.062,-0.49,-0.1,north,pohjoinen
pohjoinen,0.14,-0.32,-0.056,northern,pohjoinen
pohjustava,0.164,0.314,0.068,tentative,pohjustava
pohjustus,-0.038,-0.176,-0.28,priming,pohjustus
pohtia,0.48,-0.24,0.378,ponder,pohtia
poiju,0.124,-0.44,-0.432,buoy,poiju
poika,0.292,-0.216,-0.11,boy,poika
poika,0.584,-0.27,0.056,son,poika
poikamainen,0.396,0.124,-0.076,boyish,poikamainen
poikamies,0.334,-0.188,0.2,bachelor,poikamies
poikamiestyttö,0.47,0.56,-0.07,bachelorette,poikamiestyttö
poikanen,0.292,-0.236,-0.432,cub,poikanen
poikanen,0.51,-0.146,-0.396,pup,poikanen
poikapuoli,0.228,-0.188,-0.04,stepson,poikapuoli
poikavuodet,0.458,0.49,0.0,boyhood,poikavuosi
poikaystävä,0.224,-0.12,-0.136,beau,poikaystävä
poikaystävä,0.562,0.208,0.094,boyfriend,poikaystävä
poiketa,-0.654,0.124,-0.462,deviate,poiketa
poikittainen,-0.142,-0.142,0.05,transverse,poikittainen
poikkeama,-0.75,0.632,-0.166,aberration,poikkeama
poikkeama,-0.79,0.026,-0.328,deviation,poikkeama
poikkeava,-0.726,0.208,-0.382,abnormal,poikkeava
poikkeava,-0.438,-0.04,-0.154,anomalous,poikkeava
poikkeava,-0.812,0.178,-0.204,deviant,poikkeava
poikkeava,-0.292,0.268,0.072,deviating,poikkeava
poikkeavuus,-0.816,0.31,-0.234,abnormality,poikkeavuus
poikkeuksellinen,-0.708,0.53,-0.138,aberrant,poikkeuksellinen
poikkeuksellinen,0.612,0.48,0.866,exceptional,poikkeuksellinen
poikkeuksellinen,0.694,0.728,0.796,extraordinaire,poikkeuksellinen
poikkeuksetta,-0.084,-0.27,0.1,invariably,poikkeus
poikkeus,-0.624,0.076,-0.192,anomaly,poikkeus
poikkeus,-0.584,-0.08,-0.346,derogation,poikkeus
poikkeus,-0.062,0.2,0.088,exception,poikkeus
poimia,-0.204,0.062,0.0,glean,poimia
poimittu,0.48,0.036,0.34,picked,poimittu
poimu,-0.166,0.118,0.054,convolution,poimu
poissa,-0.646,-0.558,-0.768,absent,poissa
poissaoleva,-0.47,0.4,-0.53,preoccupied,poissaoleva
poissaolija,-0.53,-0.34,-0.442,absentee,
poissaolo,-0.694,-0.53,-0.468,absence,poissaolo
poissuljettu,-0.878,0.08,-0.732,excluded,poissuljettu
poistaa,-0.104,0.23,0.058,abolish,poistaa
poistaa,-0.416,-0.404,-0.182,delete,poistaa
poistaa,-0.47,0.34,-0.352,eliminate,poistaa
poistaa,-0.416,0.078,-0.056,remove,poistaa
poistaminen,-0.354,0.38,0.058,abolition,poistaa
poistaminen,-0.438,-0.28,-0.47,erasure,poistaa
poistaminen,-0.48,-0.04,0.038,excision,poistaa
poistaminen,-0.51,0.08,-0.264,removal,poistaa
poisto,-0.876,0.012,-0.076,deletion,poisto
poistoaine,-0.326,-0.114,0.052,remover,poistoaine
poistuminen,-0.26,-0.294,-0.202,exit,poistua
pojanpoika,0.556,-0.334,0.0,grandson,pojanpoika
pojanvesseli,-0.082,-0.52,-0.5,tad,pojanvesseli
pokeri,-0.04,0.378,-0.204,poker,pokeri
pokkari,0.266,-0.462,-0.372,paperback,pokkari
polaarinen,-0.064,-0.478,0.0,polar,polaarinen
polemiikki,-0.734,0.5,0.304,polemic,polemiikki
poletti,0.02,-0.164,-0.172,token,poletti
poliisi,-0.346,0.54,0.672,cop,poliisi
poliisi,-0.062,0.462,0.768,patrolman,poliisi
Poliisi,-0.084,0.54,0.66,police,poliisi
poliisi,-0.042,0.632,0.716,police officer,poliisi
poliisi,0.084,0.416,0.796,policeman,poliisi
poliisi,-0.084,0.388,0.426,trooper,poliisi
poliisikonstaapeli,0.146,0.334,0.528,constable,poliisikonstaapeli
poliisituomari,0.174,0.082,0.808,magistrate,poliisituomari
poliitikko,-0.354,0.102,0.726,politician,poliitikko
poliittinen,-0.306,0.46,0.75,political,poliittinen
polio,-0.408,-0.096,-0.182,polio,polio
politiikka,-0.352,0.47,0.666,policy,politiikka
politiikka,-0.5,0.056,0.71,politics,politiikka
polkea,0.0,-0.36,-0.316,pedal,polkea
polkka,0.208,-0.098,-0.148,polka,polkka
polku,0.354,-0.358,-0.054,footpath,polku
polku,0.18,-0.51,-0.158,path,polku
polku,0.292,-0.18,0.038,pathway,polku
polku,0.2,-0.356,-0.09,trail,polku
polkupyörä,0.416,0.038,-0.15,bicycle,polkupyörä
polkuvene,0.326,-0.254,-0.17,paddle boat,polkuvene
poltergeist,-0.458,0.568,0.088,poltergeist,poltergeist
poltettu,-0.674,0.206,-0.306,burned,poltettu
poltin,-0.408,0.632,-0.108,burner,poltin
poltot,0.0,0.354,0.24,travail,poltto
polttaa,-0.562,0.566,0.018,burn,polttaa
polttava,-0.312,0.138,-0.22,blistering,polttava
polttava,-0.188,0.27,-0.072,scorching,polttava
polttimo,0.124,-0.584,-0.4,bulb,polttimo
poltto,-0.542,0.574,-0.06,incineration,poltto
polttoaine,-0.11,0.056,0.288,fuel,polttoaine
polttopuu,0.04,-0.304,-0.474,firewood,polttopuu
polttouuni,-0.098,-0.154,-0.172,kiln,polttouuni
polveileva,-0.146,0.288,0.078,meandering,polveileva
polvi,0.04,-0.51,-0.208,knee,polvi
polvihousut,-0.27,-0.086,-0.334,breeches,polvihousu
polvillaan,-0.51,-0.13,-0.712,kneeling,polvi
polvilumpio,-0.146,-0.28,-0.12,kneecap,polvilumpio
polvilumpio,-0.14,-0.48,-0.316,patella,polvilumpio
polvistua,-0.148,-0.166,-0.566,kneel,polvistua
polyesteri,-0.042,-0.46,-0.268,polyester,polyesteri
polymeeri,-0.124,-0.34,-0.214,polymer,polymeeri
pommi,-0.666,0.824,0.5,bomb,pommi
pommi,-0.346,0.736,0.386,bombshell,pommi
pommikone,-0.75,0.674,0.62,bomber,pommikone
pommittaa,-0.688,0.922,0.554,bombard,pommittaa
pommittaja,-0.52,0.726,0.574,bombardier,pommittaja
pommitus,-0.708,0.918,0.484,bombardment,pommitus
pommitus,-0.666,0.926,0.464,bombing,pommitus
pomo,-0.38,0.254,0.908,boss,pomo
pomo,-0.286,0.252,0.284,kingpin,pomo
pomppia,-0.25,0.266,-0.228,bounce,pomppa
pomppia,-0.04,-0.148,-0.264,pogo,pomppa
poncho,-0.02,-0.47,-0.538,poncho,poncho
poni,0.624,-0.174,-0.37,pony,poni
poninhäntä,0.082,-0.326,-0.396,ponytail,poninhäntä
ponnahtaa,0.042,-0.04,0.012,rebound,ponnahtaa
ponnistus,0.396,0.556,0.716,effort,ponnistus
ponnistus,0.326,0.51,0.434,exertion,ponnistus
ponttoni,0.0,-0.246,-0.254,pontoon,ponttoni
poolo,0.164,-0.28,-0.17,polo,poolo
poolokaulus,0.166,-0.204,-0.346,turtleneck,poolokaulus
pop,0.346,0.02,-0.018,pop,poppi
popcorn,0.75,-0.118,-0.538,popcorn,popcorn
pora,-0.396,0.098,0.156,borer,pora
porata,-0.5,0.204,0.146,drill,porata
porausreikä,-0.166,-0.12,-0.09,bore,porausreikä
poreallas,0.42,-0.17,-0.116,whirlpool,poreallas
porho,0.254,0.416,0.736,magnate,porho
porkkana,0.0,-0.53,-0.442,carrot,porkka
pormestari,-0.062,-0.038,0.636,mayor,pormestari
porno,-0.312,0.83,-0.158,porn,porno
pornografia,-0.354,0.842,-0.038,pornography,pornografia
pornografinen,-0.54,0.792,0.0,pornographic,pornografinen
poro,0.184,-0.328,-0.208,reindeer,poro
poroporvari,-0.22,0.0,-0.018,philistine,poroporvari
porras,-0.02,-0.192,-0.15,echelon,porras
porras,0.04,-0.51,0.12,tier,porras
porraskaide,-0.164,-0.18,-0.336,banister,porraskaide
porraskuilu,0.02,-0.416,-0.334,stairwell,porraskuilu
porrastaa,0.062,0.24,-0.084,stagger,porrastaa
porrastus,-0.026,-0.046,0.232,gradation,porrastus
porsaanreikä,-0.188,0.51,-0.018,loophole,porsaanreikä
porsas,0.08,-0.114,-0.5,piglet,porsas
portaali,0.166,-0.306,0.094,portal,portaali
portaat,0.02,-0.122,-0.316,stairs,porras
portaikko,-0.062,-0.306,-0.12,staircase,portaikko
portieeri,0.142,-0.25,0.308,porter,portieeri
portinvartija,-0.04,-0.314,-0.314,concierge,portinvartija
portinvartija,0.02,-0.02,0.196,gatekeeper,portinvartija
portti,0.02,-0.53,-0.148,gate,portti
portti,0.184,-0.248,0.058,gateway,portti
portti,0.1,-0.182,0.026,port,portti
portto,-0.604,0.596,-0.34,harlot,portto
porvari,-0.122,0.186,0.364,bourgeois,porvari
porvaristo,-0.286,-0.166,0.534,bourgeoisie,porvaristo
positiivinen,0.918,0.02,0.71,positive,positiivinen
positiivisesti,0.938,0.29,0.59,positively,positiivinen
positiivisuus,0.918,0.098,0.74,positivity,positiivisuus
poski,0.34,-0.372,-0.158,cheek,poski
poskihammas,0.088,-0.148,-0.3,molar,poskihammas
poskipuna,0.124,-0.2,-0.236,rouge,poskipuna
posliini,0.122,-0.114,0.112,china,posliini
posliini,0.124,-0.38,-0.302,porcelain,posliini
possu,0.082,-0.27,-0.176,piggy,possu
posti,0.23,-0.538,0.096,mail,posti
postikortti,0.644,-0.416,-0.22,postcard,postikortti
postikulut,0.12,-0.058,0.054,postage,postikulku
postilaatikko,0.146,-0.556,-0.192,mailbox,postilaatikko
postin,0.53,-0.51,-0.178,postal,posti
postinkantaja,0.318,-0.164,-0.076,mailman,postinkantaja
postinkantaja,0.286,-0.036,-0.09,postman,postinkantaja
postitus,0.376,-0.352,-0.25,mailing,postitus
postivaunut,0.032,0.038,0.254,stagecoach,postivaunu
potaska,-0.376,-0.278,-0.124,tripe,potaska
potero,-0.376,0.078,-0.222,foxhole,potero
potilas,0.166,-0.614,-0.32,patient,potilas
potkia,-0.458,0.582,0.052,kick,potka
potkiminen,-0.346,0.604,0.02,kicking,potkia
potkunyrkkeily,-0.146,0.764,0.302,kickboxing,potkunyrkkeily
potkuri,-0.042,0.138,-0.036,propeller,potkuri
potta,-0.266,-0.254,-0.366,potty,potta
pottu,-0.194,-0.154,-0.302,spud,pottu
povi,0.224,0.176,-0.192,bosom,povi
pramea,0.306,0.47,0.442,gaudy,pramea
predikaatti,0.27,-0.312,-0.07,predicate,predikaatti
preeria,0.346,-0.634,-0.17,prairie,preeria
prefekti,0.396,-0.098,0.618,prefect,prefekti
presidentti,0.354,0.244,0.946,president,presidentti
pressu,-0.042,-0.58,-0.272,tarp,pressu
priimus,0.0,-0.02,0.188,valedictorian,priimus
prikaati,0.208,0.42,0.656,brigade,prikaati
priki,0.146,0.078,0.0,brig,
primitiivinen,-0.354,-0.224,-0.278,primitive,primitiivinen
prinsessa,0.77,0.114,0.24,princess,prinsessa
prinssi,0.776,-0.072,0.74,prince,prinssi
printata,0.188,0.32,0.274,printout,printata
prioriteetti,0.756,0.124,0.728,priority,prioriteetti
prisma,0.04,-0.142,-0.314,prism,prisma
prismaattinen,-0.142,0.124,0.08,prismatic,
produktiivinen,0.448,0.098,0.416,generative,produktiivinen
profeetallinen,0.376,0.172,0.592,prophetic,profeetallinen
profeetta,0.346,-0.076,0.548,prophet,profeetta
professori,0.312,-0.204,0.442,professor,professori
professuuri,0.164,-0.322,0.436,professorship,professuuri
profetia,0.494,0.384,0.5,prophecy,profetia
profiili,0.378,-0.414,0.058,profile,profiili
profiloija,0.04,-0.17,0.118,profiler,profiloija
profylaksia,-0.416,-0.192,0.294,prophylaxis,
projekti,0.45,-0.076,0.706,project,projekti
projektio,0.416,0.0,0.462,projection,projektio
projektori,0.146,-0.018,0.422,projector,projektori
prologi,0.142,-0.216,0.092,prologue,prologi
promoottori,0.292,0.146,0.634,promoter,promoottori
pronssi,0.244,-0.334,0.052,bronze,pronssi
proomu,-0.062,-0.224,-0.07,barge,proomu
proosa,0.084,-0.452,-0.128,prose,proosa
propaani,-0.308,-0.054,-0.128,propane,propaani
propaganda,0.042,0.302,0.236,propaganda,propaganda
propelli,-0.146,0.422,0.228,kicker,propelli
prosentti,-0.06,-0.3,-0.288,percent,prosentti
prosenttimäärä,-0.062,-0.2,0.106,percentage,prosenttimäärä
prosenttipiste,-0.042,-0.18,-0.22,percentile,prosenttipiste
prosessoida,0.02,-0.058,0.23,process,prosessoida
prostituoitu,-0.666,0.72,-0.146,prostitute,prostituoitu
prostituutio,-0.75,0.686,-0.05,prostitution,prostituutio
proteiini,0.5,-0.326,0.308,protein,proteiini
protestantti,-0.34,0.46,0.092,protestant,protestantti
protesti,-0.72,0.778,0.192,protest,protesti
protestoida,-0.244,0.0,-0.09,barrack,protestoida
protestointi,-0.458,0.546,0.436,outcry,protestointi
protokolla,-0.644,0.0,0.572,protocol,protokolla
protoni,-0.084,-0.17,-0.018,proton,proto
prototyyppi,0.346,-0.34,0.314,prototype,prototyyppi
provokaatio,-0.58,0.786,0.41,provocation,provokaatio
provosoida,-0.4,0.742,0.47,provoke,provosoida
provosoimaton,0.13,-0.346,-0.23,unprovoked,provosoimaton
provosoiva,-0.124,0.628,0.368,provocative,provosoiva
pröystäilevä,-0.042,0.588,0.296,ostentatious,pröystäilevä
psalmi,0.376,-0.552,0.114,psalm,psalmi
pseudo,-0.266,-0.222,-0.436,pseudo,
psoriaasi,-0.75,0.348,-0.34,psoriasis,psoriaasi
psykedeelinen,-0.1,0.26,-0.036,psychedelic,psykedeelinen
psykiatri,-0.022,0.254,0.53,psychiatrist,psykiatri
psykiatria,-0.618,0.326,0.396,psychiatry,psykiatri
psykiatrinen,-0.58,0.232,0.05,psychiatric,psykiatrinen
psykoanalyysi,-0.124,-0.02,0.482,psychoanalysis,psykoanalyysi
psykoanalyytikko,-0.314,0.2,0.476,psychoanalyst,psykoanalyytikko
psykologi,-0.25,-0.384,0.316,psychologist,psykologi
psykologia,0.122,-0.208,0.452,psychology,psykologi
psykologinen,-0.188,-0.102,0.32,psychological,psykologinen
psykologisoida,-0.04,0.0,0.052,psych,psykologisoida
psykoosi,-0.666,0.718,-0.376,psychosis,psyko
psykoottinen,-0.604,0.712,-0.052,psychotic,psykoottinen
psykopaatti,-0.92,0.886,0.072,psychopath,psykopaatti
psykopaattinen,-0.846,0.836,0.016,psychopathic,psykopaattinen
psykosomaattinen,-0.5,0.16,-0.054,psychosomatic,psykosomaattinen
psykoterapia,-0.208,0.094,0.302,psychotherapy,psykoterapia
psyyke,-0.146,-0.25,-0.13,psyche,psyyke
psyykkinen,-0.02,0.118,0.452,psychic,psyykkinen
pubi,0.184,0.274,-0.108,pub,pubi
pudokas,0.5,0.728,0.276,windfall,pudokas
pudota,-0.042,-0.358,-0.418,drop,pudota
pudota,-0.646,0.314,-0.558,fall,pudota
pudota,-0.144,-0.288,-0.254,fallout,pudota
Pudotuspeli,0.244,0.432,0.1,playoff,pudotuspeli
puhallettava,0.02,0.02,-0.2,inflatable,puhallettava
puhallin,0.128,0.1,0.072,blower,puhallin
puhallinsoitin,0.006,-0.076,-0.178,kazoo,puhallinsoitin
puhalluslamppu,0.04,0.46,0.02,blowtorch,puhalluslamppu
puhaltaa,0.042,-0.056,-0.132,blowing,puhaltaa
puhdas,0.654,-0.66,0.0,clean,puhdas
puhdas,0.622,-0.388,0.304,pure,puhdas
puhdistaa,0.25,-0.38,0.32,cleanse,puhdistaa
puhdistaa,0.646,-0.392,0.492,purify,puhdistaa
puhdistaminen,0.222,0.076,0.146,decontamination,puhdistaa
puhdistaminen,0.694,-0.096,0.548,purification,puhdistaa
puhdistettu,0.7,-0.14,0.306,refined,puhdistettu
puhdistus,0.19,-0.208,-0.146,cleaning,puhdistus
puhdistus,0.458,-0.404,-0.056,cleansing,puhdistus
puhdistusaine,0.208,-0.294,-0.134,cleanser,puhdistusaine
puhdistuspuikko,-0.188,-0.184,-0.302,ramrod,puhdistuspuikko
puhe,0.312,-0.06,0.376,speech,puhe
puheenaihe,0.04,-0.448,-0.146,topic,puheenaihe
puheenjohtaja,0.312,0.134,0.866,chairman,puheenjohtaja
puheenjohtaja,0.46,0.314,0.932,chairperson,puheenjohtaja
puheenjohtaja,0.438,0.328,0.906,chairwoman,puheenjohtaja
puheenjohtajuus,0.552,0.372,0.836,presidency,puheenjohtajuus
puhekielinen,0.208,-0.274,-0.264,colloquial,puhekielinen
puhelias,0.188,0.096,-0.31,chatty,puhelias
puhelias,0.124,0.346,0.07,talkative,puhelias
puhelin,0.458,-0.312,-0.164,phone,puhelin
puhelin,0.388,0.04,-0.15,telephone,puhelin
puhelinpalvelu,0.184,0.13,0.326,hotline,puhelinpalvelu
puhelinvaihde,0.142,0.038,0.116,switchboard,puhelinvaihde
puhelinvastaaja,0.368,0.0,0.214,answering,puhelinvastaaja
puhelinvastaaja,-0.084,-0.094,-0.188,voicemail,puhelinvastaaja
puhelu,0.188,0.254,0.116,call,puhelu
puhetaito,0.458,-0.02,0.608,eloquence,puhetaito
puhetaito,0.204,-0.056,0.386,oratory,puhetaito
puhjeta,-0.624,0.64,0.636,erupt,puhjeta
puhkaista,-0.124,-0.122,0.35,broach,puhkaista
puhkaista,-0.27,0.34,0.222,pierce,puhkaista
puhkeaminen,-0.48,0.264,-0.056,outbreak,puhjeta
puhki,-0.312,-0.17,-0.322,frazzled,puhki
puhtaaksikirjoittaa,0.0,-0.212,0.146,transcribe,puhtaaksikirjoittaa
puhtaaksikirjoitus,0.184,-0.09,0.23,transcription,puhtaaksikirjoitus
puhtaasti,0.368,-0.118,0.072,purely,puhdas
puhtaus,0.632,-0.274,0.218,cleanliness,puhtaus
puhtaus,0.646,-0.59,0.424,purity,puhtaus
puhti,-0.102,0.226,-0.37,oomph,puhti
puhti,0.02,0.02,-0.272,pep,puhti
puhua,0.53,-0.056,0.0,speak,puhua
puhua,0.666,-0.308,0.188,talk,puhua
puhuja,0.334,-0.25,0.364,orator,puhuja
puhumaton,-0.458,-0.53,-0.738,voiceless,puhumaton
puhuminen,0.506,0.18,0.15,speaking,puhua
puhveli,-0.062,0.056,0.054,buffalo,puhveli
puida,-0.02,-0.166,0.0,thresh,puida
puinen,0.0,-0.608,-0.364,wooden,puinen
puitteet,-0.082,-0.34,-0.28,framework,puite
pukea,0.484,-0.224,-0.034,attire,pukea
pukeutua,0.52,-0.4,-0.31,dress,pukeutua
pukeutuja,0.208,-0.204,-0.054,dresser,pukeutuja
pukeutunut,0.166,-0.254,-0.038,clad,pukeutunut
pukinparta,-0.042,-0.42,-0.49,goatee,pukinparta
pukki,0.354,0.154,0.44,buck,pukki
puku,0.096,0.02,-0.252,costume,puku
puku,0.124,-0.26,0.016,garb,puku
puku,0.25,-0.434,-0.158,gown,puku
puku,0.334,-0.196,-0.246,raiment,puku
puku,0.552,-0.436,-0.036,suit,puku
pulauttelu,-0.68,0.294,-0.37,regurgitation,pulauttelu
pulina,0.0,-0.058,-0.25,gab,puli
pulisongit,0.554,-0.346,-0.384,sideburns,pulisonki
pulista,0.12,-0.1,-0.306,chatter,puli
pullea,0.062,-0.146,-0.392,chubby,pullea
pullea,-0.23,-0.04,-0.226,plump,pullea
pullea,-0.532,-0.034,-0.334,porky,pullea
pullea,-0.38,-0.144,-0.4,pudgy,pullea
pullea,-0.146,-0.154,-0.294,tubby,pullea
pullistua,-0.542,0.388,-0.404,bloat,pullistua
pullistuma,-0.48,-0.026,-0.2,bulge,pullistuma
pullo,-0.062,-0.528,-0.328,bottle,pullo
pullo,-0.164,-0.176,-0.092,flask,pullo
pullollaan,0.14,0.122,0.384,rife,pullo
pullonkaula,-0.432,-0.058,-0.426,bottleneck,pullonkaula
pullotus,-0.27,-0.334,-0.26,bottling,pullotus
pulmatilanne,-0.584,0.15,-0.156,quandary,pulmatila
pulsari,-0.02,0.0,0.236,pulsar,pulsari
pulska,0.122,-0.192,-0.112,bonny,pulska
pulssi,0.014,-0.176,-0.016,pulse,pulssi
pultsari,-0.188,0.07,-0.302,wino,pultsari
pultti,-0.292,-0.274,-0.148,bolt,pultti
pummi,-0.674,0.0,-0.466,bummer,pummi
pummi,-0.354,-0.02,-0.284,scrounger,pummi
pumppu,-0.166,0.764,0.362,pump,pumppu
pumppu,-0.042,-0.058,0.018,ticker,pumppu
punailves,0.124,-0.02,0.058,bobcat,punailves
punainen,-0.146,-0.23,-0.246,red,punainen
punaisuus,-0.698,-0.06,-0.166,redness,punaisuus
punaniska,-0.198,0.0,-0.304,redneck,punaniska
punaposkinen,-0.02,0.26,-0.21,ruddy,punaposkinen
punapuu,0.184,-0.3,-0.114,redwood,punapuu
punapää,0.354,0.098,0.036,redhead,punapää
punarinta,0.104,-0.274,-0.214,robin,punarinta
punastua,0.396,0.22,-0.11,blush,punastua
punastuminen,0.02,0.578,-0.424,blushing,punastua
punastus,-0.184,0.51,0.178,flush,punastus
punatauti,-0.48,0.056,-0.31,dysentery,punatauti
punatukkainen,0.02,0.04,-0.144,redheaded,punatukkainen
punertava,0.042,-0.326,-0.344,reddish,punertava
punk,-0.142,0.26,-0.284,punk,punkki
punkki,-0.42,0.168,-0.458,mite,punkki
punktio,-0.604,0.554,-0.16,puncture,punktio
punnita,-0.334,-0.208,-0.25,weigh,punnita
punnitus,-0.102,-0.118,-0.064,weighing,punnitus
punos,-0.146,-0.556,-0.568,braid,punos
punos,-0.062,-0.116,-0.316,gimp,punos
punos,-0.334,-0.19,-0.21,plexus,punos
punta,0.14,-0.326,-0.114,pound,punta
puola,-0.142,-0.056,-0.294,bobbin,puola
puolestapuhuja,0.102,0.06,0.636,advocate,puolestapuhuja
puolestapuhuja,0.058,0.02,0.69,exponent,puolestapuhuja
puoli,0.334,-0.352,-0.236,facet,puoli
puoli,0.0,-0.452,-0.448,half,puoli
puoli,-0.122,-0.424,-0.21,side,puoli
puoliaika,-0.084,-0.296,-0.142,halftime,puoliaika
puoliautomaattinen,-0.062,0.02,0.044,semiautomatic,puoliautomaattinen
puolikerros,-0.042,-0.146,-0.192,mezzanine,puolikerros
puolikuu,0.396,-0.236,-0.186,crescent,puolikuu
puolinuotti,0.036,-0.584,-0.724,minim,puolinuotti
puoliperävaunu,-0.408,-0.31,-0.392,semi,puoliperävaunu
puolipiste,-0.244,-0.49,-0.364,semicolon,puolipiste
puoliso,0.264,0.018,0.26,consort,puoliso
puoliso,0.5,0.2,0.29,spouse,puoliso
puolisotilaallinen,-0.692,0.608,0.454,paramilitary,puolisotilaallinen
puolittaa,-0.368,-0.306,-0.396,halve,puolittaa
puolittaminen,-0.416,-0.052,-0.268,halving,puolittaa
puoliväli,0.0,-0.37,-0.288,mid,puoliväli
puoliväli,-0.146,-0.326,-0.15,midterm,puoliväli
puolivälissä,0.02,-0.492,-0.322,halfway,puoliväli
puolivälissä,-0.082,-0.368,-0.392,midway,puoliväli
puolueellinen,-0.458,-0.396,-0.264,biased,puolueellinen
puolueellinen,0.23,0.098,0.338,partisan,puolueellinen
puolueellisuus,-0.2,-0.26,0.082,bias,puolueellisuus
puolueellisuus,-0.25,-0.24,-0.02,partiality,puolueellisuus
puolueeton,0.062,-0.188,0.37,impartial,puolueeton
puolueeton,0.25,-0.244,0.236,unbiased,puolueeton
puolueettomuus,0.244,-0.212,0.232,impartiality,puolueettomuus
puolueettomuus,-0.062,-0.59,-0.132,neutrality,puolueettomuus
puolustaa,0.5,0.238,0.618,assert,puolustaa
puolustaa,0.396,0.444,0.34,defend,puolustaa
puolustaa,0.396,-0.358,0.122,uphold,puolustaa
puolustaja,0.278,0.416,0.5,defender,puolustaja
puolustaja,0.0,0.188,0.038,fullback,puolustaja
puolustava,0.208,0.742,0.624,defending,puolustava
puolustava,0.084,0.28,0.356,defensive,puolustava
puolustettu,0.326,-0.098,0.164,defended,puolustettu
puolustus,0.304,0.396,0.604,defense,puolustus
puolustuskyvytön,-0.714,-0.286,-0.79,defenseless,puolustuskyvytön
puomi,0.208,0.31,0.462,boom,puomi
puoskari,0.06,-0.098,0.25,quack,puoskari
pupu,0.48,-0.35,-0.612,bunny,pupu
purenta,-0.388,-0.122,-0.116,occlusion,purenta
pureskella,0.04,-0.02,-0.192,chew,pureskella
purettu,-0.458,0.294,-0.294,demolished,purettu
puristaa,-0.124,0.236,0.16,clench,puristaa
puristaa,-0.188,-0.176,-0.08,compress,puristaa
puristaa,-0.084,0.352,0.064,squeeze,puristaa
puristaminen,-0.48,0.196,0.114,squeezing,puristaa
puristamiseen > pursotus,-0.542,0.32,0.09,extrusion,
puristi,0.25,-0.164,0.15,purist,puristi
puristin,0.082,-0.224,-0.092,clamp,puristi
puristus,0.292,0.042,0.158,compression,puristus
puristuva,0.244,-0.216,0.17,compressible,puristuva
purjehdus,0.334,0.04,0.0,sailing,purjehdus
