Finnish-fi,Valence,Arousal,Dominance,English-en
nuijapää,-0.3,-0.132,-0.564,tadpole
nujakka,0.082,0.408,0.222,melee
nujerrettu,-0.448,-0.196,-0.41,prostrate
nujertaa,-0.224,0.392,-0.132,quell
nujertaminen,-0.466,0.082,0.074,suppression
nukka,-0.224,-0.654,-0.572,lint
nukkavieru,-0.572,0.396,-0.46,mangy
nukke,0.458,-0.358,-0.34,doll
nukkekoti,0.286,-0.51,-0.274,dollhouse
nukkua,0.438,-0.82,-0.322,sleep
nukkuja,0.28,-0.692,-0.492,sleeper
nukkumaanmenoaika,0.346,-0.372,-0.254,bedtime
nukkumapaikka,-0.428,0.384,-0.038,shakedown
nukkumatti,-0.042,-0.062,-0.224,sandman
nukkuminen,0.408,-0.818,-0.376,sleeping
nukutusaine,-0.102,-0.464,0.018,anaesthetic
nukutuslääkäri,-0.162,-0.552,0.052,anesthesiologist
numeerinen,-0.042,-0.356,0.034,numerical
numeerisesti,0.02,-0.326,0.0,numerically
numeraali,0.164,-0.492,-0.236,numeral
numero,-0.188,-0.538,-0.058,number
numeroimaton,-0.188,-0.49,-0.338,unnumbered
numerointi,0.02,-0.274,-0.036,numbering
nummi,0.604,-0.226,0.092,heath
nummimaa,-0.02,-0.26,-0.088,moorland
nunna,0.0,-0.7,-0.188,nun
nunnaluostari,0.306,-0.528,-0.054,nunnery
nuokkua,0.184,-0.6,-0.19,doze
nuoli,-0.122,-0.22,-0.092,arrow
nuolla,-0.06,-0.036,-0.34,lick
nuora,-0.224,-0.244,-0.284,cord
nuorekas,0.654,-0.04,0.372,youthful
nuorempi,0.562,-0.086,0.116,younger
nuorentaa,0.552,0.176,0.534,rejuvenate
nuorentunut,0.618,0.346,0.4,rejuvenated
nuori,0.624,0.04,0.074,young
nuorisojengi,-0.204,0.02,-0.054,posse
nuorukainen,0.592,0.114,0.322,youngster
nuoruus,0.876,0.216,0.472,youth
nuotio,0.354,0.018,-0.128,campfire
nuottiavain,0.23,-0.28,0.19,clef
nuppi,-0.32,-0.28,-0.456,knob
nuppu,-0.08,-0.196,-0.334,bud
nurinkurinen,-0.666,0.654,-0.034,preposterous
nuriseva,-0.604,0.654,-0.038,grunting
nurkka,-0.2,-0.408,-0.268,corner
nurmi,0.062,-0.616,-0.41,turf
nurmikko,0.372,-0.694,-0.616,lawn
nuttura,-0.152,-0.388,-0.464,bun
nuudeli,0.266,-0.568,-0.55,noodle
nuukuus,-0.102,-0.44,-0.194,parsimony
nuuska,-0.286,-0.06,-0.246,snuff
nuutua,-0.548,-0.292,-0.376,wilt
nykiminen,-0.416,0.4,-0.036,twitching
nykimisoire,-0.458,-0.124,-0.5,tic
nykivä,-0.534,0.076,-0.284,jerky
nykiä,0.02,0.48,0.096,twitch
nykyaikainen,0.44,-0.27,0.138,contemporary
nykyinen,0.25,-0.376,0.224,current
nykyään,0.36,-0.308,-0.2,nowadays
nykäys,-0.36,0.208,0.116,tug
nylon,-0.02,-0.392,-0.41,nylon
nymfi,0.084,0.058,-0.056,nymph
nymfomaani,-0.204,0.788,0.072,nymphomaniac
nynnerö,-0.456,0.038,-0.278,dork
nynny,-0.632,-0.02,-0.75,wimp
nyppiä,-0.25,0.166,-0.052,pluck
nyrjähdys,-0.874,0.16,-0.232,sprain
nyrkillinen,0.0,0.018,0.0,fistful
nyrkkeilijä,-0.02,0.62,0.604,boxer
nyrkkeily,-0.146,0.708,0.29,boxing
nyrkki,-0.334,0.372,-0.038,fist
nyrkkitappelu,-0.584,0.804,0.086,fistfight
nyyhkyttää,-0.77,-0.04,-0.576,sob
nyytti,0.312,0.352,0.308,swag
nyyttikestit,0.242,0.122,-0.134,potluck
nyökkäys,0.18,-0.266,-0.146,nod
nyöri,-0.062,-0.366,-0.24,cordon
näennäinen,0.084,0.098,0.17,ostensible
näennäisesti,-0.054,0.058,0.018,ostensibly
nähdä,0.27,-0.462,-0.376,see
nähtävästi,-0.02,-0.18,-0.288,seemingly
näivettyä,-0.68,-0.182,-0.714,shrivel
näkemiin,0.396,-0.12,-0.118,aloha
näkemys,0.416,-0.106,0.484,vision
näkemätön,-0.146,-0.298,-0.158,unseen
näkijä,0.208,-0.038,0.48,seer
näky,0.368,-0.5,0.056,sight
näkymä,0.466,-0.116,0.396,prospect
näkymättömyys,-0.124,-0.078,-0.236,invisibility
näkymätön,-0.166,-0.31,-0.176,invisible
näkyvyys,0.5,-0.112,0.352,visibility
näkyvä,0.5,-0.316,0.018,visible
näkyvästi,0.448,-0.254,0.182,visibly
näkö,0.5,-0.548,-0.314,eyesight
näköala,0.792,-0.416,0.11,view
näköalapaikka,0.48,0.264,0.576,vantage
näkökanta,0.17,-0.224,0.304,standpoint
näkökohta,-0.042,-0.062,0.176,aspect
näkökulma,0.346,-0.388,0.288,viewpoint
nälkiintyminen,-0.52,0.184,-0.432,starvation
nälkiintynyt,-0.674,0.34,-0.328,starving
nälkiintyä,-0.854,0.458,-0.196,starve
nälkä,-0.834,0.108,-0.344,hunger
nälkäinen,-0.834,0.38,-0.492,hungry
nälviä,-0.604,0.83,-0.018,snipe
nälänhätä,-0.674,0.358,-0.38,famine
nänni,-0.04,0.572,-0.17,nipple
nänninpiha,-0.166,-0.208,-0.238,areola
näpertely,-0.208,0.056,-0.45,tinker
näppylä,-0.326,-0.18,-0.238,zit
näppyläinen,-0.438,0.212,-0.518,spotty
näppäilty,-0.062,-0.006,0.042,keyed
näppäimet,0.208,-0.49,-0.34,keypad
näppäimistö,0.146,-0.442,-0.302,keyboard
näppärä,0.438,0.15,0.698,deft
näpsäkkä,-0.062,-0.08,-0.304,pert
närhi,0.062,-0.184,-0.222,jay
närkästynyt,-0.792,0.316,-0.116,disgruntled
närkästys,-0.654,0.556,-0.138,indignation
närästys,-0.714,0.226,-0.204,heartburn
nätti,0.75,0.032,0.122,pretty
näyte,0.042,-0.626,-0.096,sample
näyteikkuna,0.042,-0.49,-0.17,showcase
näytelmäkirjailija,0.344,0.1,0.334,playwright
näytteillepano,0.354,-0.35,-0.2,display
näytteleminen,0.396,0.286,0.0,acting
näyttelijä,0.306,0.122,0.258,actor
näyttely,0.396,0.18,0.062,exhibition
näyttelyesine,0.376,0.266,0.416,exhibit
näyttämömies,-0.16,0.368,0.11,stagehand
näyttävä,0.47,-0.26,0.32,snazzy
näyttää,-0.058,-0.396,-0.404,seem
näytös,0.244,0.08,-0.018,showing
nääntyä,-0.53,-0.184,-0.236,languish
näärännäppy,-0.408,0.0,-0.55,sty
nörtti,-0.184,-0.038,-0.37,nerd
nörttimäinen,-0.408,-0.49,-0.416,nerdy
nössö,-0.292,-0.108,-0.346,dweeb
nöyhtä,0.042,-0.036,-0.274,fuzz
nöyristelevä,-0.122,-0.346,-0.17,servile
nöyryys,0.48,-0.764,-0.112,humility
nöyryytetty,-0.792,0.424,-0.568,humiliated
nöyryyttäminen,-0.904,0.424,-0.38,humiliation
nöyryyttävä,-0.876,0.432,-0.442,humiliating
nöyryyttää,-0.896,0.428,-0.45,humiliate
nöyryytys,-0.666,0.0,-0.388,indignity
nöyrä,0.734,-0.528,-0.034,humble
nöyrästi,0.542,-0.612,-0.26,humbly
obeliski,0.208,-0.184,0.192,obelisk
objektiivisuus,0.53,-0.138,0.422,objectivity
oboe,0.02,-0.32,-0.216,oboe
observatorio,0.286,-0.352,0.462,observatory
odotettu,0.458,-0.176,0.09,expected
odottaa,-0.552,-0.666,-0.472,wait
odottamaton,-0.142,0.538,0.03,unpredictable
odottamatta,-0.292,0.518,-0.076,unexpectedly
odottava,0.416,0.3,-0.052,expectant
odotus,-0.522,-0.322,-0.334,waiting
Odysseia,0.244,0.384,0.42,odyssey
ohdake,-0.146,-0.154,-0.286,thistle
oheistaa,0.062,-0.046,-0.054,enclose
ohenne,-0.166,-0.312,-0.336,diluent
ohikiitävä,-0.122,0.3,-0.226,fleeting
ohikulkutie,-0.142,-0.164,-0.294,bypass
ohimenevä,-0.084,-0.404,0.018,passing
ohimennen,-0.042,0.0,0.0,incidentally
ohitettu,0.188,0.104,0.404,overtaken
ohittaa,0.02,-0.352,-0.276,pass
ohjaaja,0.376,0.16,0.824,director
ohjaamo,0.04,-0.152,-0.314,cockpit
ohjaava,0.334,0.04,0.428,guiding
ohjaileva,0.23,-0.244,0.286,prescriptive
ohjailu,0.27,0.28,0.49,maneuvering
ohjain,-0.062,0.424,0.736,controller
ohjat,0.0,-0.286,-0.124,rein
ohjata,-0.062,-0.02,0.054,steer
ohjaus,0.16,-0.138,0.32,steering
ohje,0.312,-0.132,0.472,instruction
ohjelma,0.122,-0.354,0.426,program
ohjelmisto,0.266,0.188,0.334,repertoire
ohjelmoida,0.48,-0.404,0.074,programme
ohjelmoija,0.124,-0.148,0.518,programmer
ohjelmointi,0.2,-0.13,0.464,programming
ohjenuora,-0.104,-0.04,0.272,precept
ohjus,-0.52,0.66,0.528,missile
ohra,0.228,-0.576,-0.408,barley
ohukainen,0.124,-0.552,-0.302,crepe
ohut,-0.062,-0.326,-0.288,thin
oidipaalinen,-0.376,0.15,0.018,oedipal
oikaista,0.25,-0.04,0.268,rectify
oikaisu,-0.102,0.12,0.39,rectification
oikea,0.48,-0.296,0.42,right
oikea-aikainen,0.73,-0.226,0.182,timely
oikeanpuoleinen,-0.084,-0.054,-0.112,dexter
oikeaoppisuus,-0.458,-0.224,0.224,orthodoxy
oikeellisuus,0.592,-0.1,0.298,correctness
oikeinkirjoitus,0.188,-0.286,-0.204,spelling
oikeudellinen,-0.244,0.334,0.666,judicial
oikeudenkäynti,-0.124,0.326,0.224,trial
oikeudenloukkaus,-0.542,0.27,-0.09,tort
oikeudenmukainen,0.428,-0.428,0.5,equitable
oikeudenmukaisuus,0.48,-0.366,0.104,fairness
oikeudenpalvelija,0.02,0.046,0.572,lawman
oikeus,0.52,0.076,0.574,justice
oikeusistuin,-0.042,0.538,0.654,court
oikeusjuttu,-0.562,0.588,0.222,lawsuit
oikeuslaitos,-0.122,0.48,0.794,judiciary
oikeuslääkäri,-0.354,0.116,0.052,coroner
oikeussali,-0.23,0.34,0.774,courtroom
oikeustalo,0.142,0.006,0.636,courthouse
oikeustiede,-0.28,-0.15,0.528,jurisprudence
oikeutettu,0.572,-0.174,0.642,justifiable
oikeutetusti,0.48,-0.058,0.564,rightly
oikeuttaa,0.458,-0.334,0.654,entitle
oikeutukseton,-0.77,0.192,-0.212,unjustifiable
oikeutus,0.244,-0.112,0.322,justification
oikku,-0.334,0.28,-0.14,caprice
oikomishoitaja,-0.062,0.23,0.128,orthodontist
oikopäätä,-0.062,-0.138,0.086,summarily
oikotie,0.188,-0.384,-0.148,shortcut
oikukas,-0.558,0.3,0.0,capricious
oikullinen,-0.188,-0.038,-0.308,fickle
oire,-0.24,0.058,-0.132,symptom
oireellinen,-0.266,-0.132,-0.018,symptomatic
oireyhtymä,-0.542,0.02,-0.508,syndrome
oivallus,0.226,-0.274,0.298,insight
oivaltava,0.328,0.382,0.426,insightful
oja,-0.286,-0.272,-0.356,ditch
ojossa,-0.104,-0.038,0.038,outstretched
okkulttinen,-0.416,-0.236,-0.188,occult
okra,-0.062,-0.2,-0.276,okra
oksa,-0.244,-0.424,-0.528,twig
oksentaa,-0.854,0.138,-0.624,vomit
oksentaminen,-0.688,0.56,-0.686,vomiting
oksidi,-0.292,-0.246,-0.404,oxide
oktaavi,-0.124,-0.24,-0.036,octave
okulaari,-0.164,-0.306,-0.04,eyepiece
olankohautus,-0.584,-0.408,-0.444,shrug
olemassaoleva,0.27,-0.02,0.27,existent
olemassaolo,0.52,0.026,0.542,existence
olematon,-0.584,-0.142,-0.702,nonexistent
olemattomuus,-0.592,-0.84,-0.678,nothingness
olemus,0.0,-0.296,-0.106,mien
olennainen,0.624,-0.19,0.518,essential
olennaisesti,0.5,-0.254,0.604,essentially
olento,0.338,0.25,0.24,creature
oleskelu,0.028,-0.514,0.018,sojourn
oletettu,-0.27,0.044,0.04,alleged
oletettu,0.224,-0.506,-0.092,assumed
olettaa,0.102,-0.314,-0.304,suppose
olettamus,0.062,-0.184,0.052,supposition
oletus,-0.042,-0.138,-0.166,assumption
oletusarvo,-0.082,-0.314,0.424,default
oliivi,0.142,-0.538,-0.188,olive
olinpaikka,-0.122,-0.236,-0.288,whereabouts
olkaimet,0.0,-0.326,0.136,braces
olkaimeton,-0.372,-0.076,-0.454,strapless
olkalaukku,0.042,-0.388,-0.31,satchel
olkapää,0.124,-0.428,-0.188,shoulder
olki,-0.04,-0.42,-0.674,straw
olla,0.34,-0.52,0.108,be
olosuhteet,0.124,0.054,-0.072,circumstances
olut,0.184,0.308,0.0,beer
omaelämäkerrallinen,0.818,-0.076,0.164,autobiographical
omaelämäkerta,0.47,-0.432,0.258,autobiography
omahyväinen,-0.604,0.104,0.174,smug
omahyväisyys,0.208,0.006,0.038,complacency
omaisuus,0.184,-0.24,0.5,belongings
omaksua,0.118,-0.218,0.366,assimilate
omalaatuinen,0.25,-0.074,-0.052,quaint
omaleimainen,0.2,-0.018,0.128,peculiar
omaperäisyys,0.796,0.0,0.648,originality
omapäinen,-0.708,0.392,0.124,obstinate
omatunto,0.326,-0.25,0.442,conscience
omega,0.058,-0.326,0.052,omega
omena,0.622,-0.4,-0.472,apple
omenamehu,0.53,-0.592,-0.412,apple juice
omenasose,0.5,-0.666,-0.418,applesauce
ominainen,0.244,-0.274,0.28,distinguishing
ominaispiirre,0.562,-0.122,0.59,attribute
ominaisuus,0.334,-0.372,0.358,feature
omistaa,0.34,0.18,0.454,possess
omistaja,0.552,-0.102,0.84,owner
omistajaton,-0.368,-0.308,-0.444,unclaimed
omistaminen,0.256,-0.11,0.482,ownership
omistautuminen,0.734,-0.058,0.364,dedication
omistautunut,0.734,-0.36,0.396,devoted
omistushaluinen,-0.442,0.296,0.392,possessive
omistusoikeus,0.334,-0.118,0.614,proprietorship
omituinen,-0.48,0.32,-0.196,weird
omituisuus,-0.368,-0.018,-0.272,weirdness
ommel,-0.52,0.02,0.02,suture
ommella,0.02,-0.32,-0.32,sew
ompeleminen,0.02,-0.236,-0.31,stitching
ompelija,0.396,-0.08,-0.034,dressmaker
ompelijatar,0.07,-0.424,-0.222,seamstress
ompelu,0.25,-0.326,-0.288,sewing
ongelma,-0.876,0.288,-0.17,problem
ongelmakysymys,-0.292,0.048,-0.184,conundrum
ongelmallinen,-0.854,0.44,-0.278,problematic
onkalo,-0.068,-0.23,-0.242,cavity
onkiminen,0.25,-0.184,0.0,angling
onkologi,-0.48,0.308,0.28,oncologist
onkologia,-0.592,-0.152,0.0,oncology
onnea,0.92,0.51,0.438,congratulations
onnekas,0.92,0.22,0.586,lucky
onnekkain,0.834,0.38,0.704,luckiest
onnellinen,1.0,0.47,0.544,happy
onnellisempi,0.98,0.52,0.612,happier
onnellisesti,1.0,0.38,0.348,happily
onnellisin,0.98,0.432,0.492,happiest
onnellisuus,0.92,0.464,0.7,happiness
onnenpotku,-0.108,-0.1,-0.136,fluke
onnenpäivä,0.858,0.3,0.326,happyday
onnentoivotus,0.896,0.56,0.434,congratulation
onnentyttö,0.562,0.424,-0.058,luckygirl
onneton,-0.776,0.0,-0.69,unhappy
onnettomuus,-0.75,0.816,-0.328,accident
onni,0.708,-0.02,0.434,luck
onnistunut,0.898,0.448,0.876,successful
onnitella,0.854,0.448,0.568,congratulate
onnittelu,0.708,0.112,0.02,greeting
onnittelut,0.86,0.452,0.55,congrats
ontelo,0.062,0.126,-0.32,sinus
ontologia,0.02,-0.1,0.036,ontology
ontto,-0.4,-0.326,-0.556,hollow
ontua,-0.214,-0.12,-0.656,limp
ontuva,-0.71,-0.18,-0.566,lame
onyksi,0.142,-0.078,-0.24,onyx
oodi,0.208,-0.462,0.038,ode
oopiumi,-0.448,-0.02,-0.334,opium
ooppera,0.428,0.0,-0.034,opera
opaali,0.246,-0.042,-0.242,opal
opas,0.376,-0.37,0.24,guide
opaskirja,0.354,-0.48,-0.146,guidebook
opastettu,0.48,-0.224,0.444,instructed
opastus,0.458,-0.058,0.436,guidance
operaatio,-0.05,0.222,0.51,operation
operaattori,0.224,0.26,0.452,operator
operatiivinen,0.082,0.27,0.436,operative
opettaa,0.68,0.02,0.704,teach
opettaja,0.52,-0.192,0.77,teacher
opettaminen,0.644,-0.112,0.472,teaching
opettavainen,0.166,-0.16,0.286,instructive
opetus,0.062,-0.256,-0.128,tuition
opetuslapsi,0.53,-0.23,-0.076,disciple
opetusohjelma,0.416,-0.388,0.24,curriculum
opetussuunnitelma,0.472,-0.26,0.286,syllabus
opiaatti,-0.438,0.188,0.196,opiate
opillinen,0.02,-0.254,0.346,doctrinal
opinkappale,0.334,-0.334,0.272,tenet
opiskelija,0.268,-0.364,0.074,student
opiskelu,0.306,-0.278,0.536,study
opossumi,-0.184,-0.058,-0.388,possum
oppi,0.0,-0.212,0.538,doctrine
oppia,0.666,0.286,0.658,learn
oppija,0.396,-0.05,-0.204,learner
oppikirja,0.244,-0.53,0.052,textbook
oppilas,0.458,-0.188,-0.264,pupil
oppimaton,-0.646,-0.3,-0.508,uneducated
oppiminen,0.666,0.176,0.148,learning
oppinut,0.408,-0.076,0.086,learned
oppipoika,0.23,-0.174,-0.096,apprentice
oppisopimus,0.624,-0.036,0.286,apprenticeship
oppitunti,0.408,0.154,0.186,lesson
opportunismi,0.142,0.504,0.346,opportunism
oppositio,-0.73,0.458,0.184,opposition
optiikka,0.124,-0.428,0.16,optics
optikko,-0.108,-0.09,0.336,optometrist
optimaalinen,0.784,-0.062,0.616,optimum
optimismi,0.898,0.13,0.628,optimism
optimisti,0.75,0.078,0.574,optimist
optimistinen,0.958,0.16,0.642,optimistic
optinen,0.354,-0.378,0.084,optical
opus,-0.084,-0.264,-0.218,opus
oraakkeli,0.104,0.062,0.34,oracle
oraalinen,0.06,-0.104,-0.25,oral
oranki,-0.14,0.12,-0.058,orangutan
oranssi,0.292,-0.736,-0.408,orange
orapihlaja,-0.188,-0.148,-0.138,haw
orastava,0.368,-0.254,0.17,nascent
orava,0.184,-0.284,-0.334,squirrel
oregano,0.192,-0.346,-0.5,oregano
orgaaninen,0.438,-0.314,0.07,organic
organisaatio,0.62,0.07,0.702,organization
organismi,-0.086,0.118,0.6,organism
organisoida,0.604,0.31,0.562,organize
orgasmi,0.688,0.726,0.352,orgasm
orgiat,-0.308,0.924,0.072,orgy
ori,0.256,0.192,0.558,stallion
origami,0.368,-0.448,-0.412,origami
orivarsa,0.122,0.174,0.086,colt
orja,-0.658,0.59,-0.698,slave
orjanlaakeri,0.02,-0.5,-0.114,holly
orjuus,-0.896,0.566,-0.564,slavery
orjuutettu,-0.792,0.44,-0.358,enslaved
orjuuttaa,-0.854,0.6,-0.038,enslave
orjuuttaminen,-0.828,0.27,-0.396,enslavement
orkesteri,0.416,0.0,0.328,orchestra
orkidea,0.68,-0.31,-0.236,orchid
ornamentiikka,0.326,-0.058,-0.056,ornamentation
ornamentti,0.122,-0.254,-0.118,ornament
orpo,-0.734,-0.224,-0.72,orphan
orpokoti,-0.632,-0.122,-0.15,orphanage
orsi,0.0,-0.18,-0.31,roost
ortodoksinen,-0.224,-0.058,0.294,orthodox
ortogonaalinen,0.0,-0.372,0.08,orthogonal
ortopedinen,-0.188,-0.308,-0.054,orthopedic
orvaskesi,-0.164,-0.02,-0.148,epidermis
orvokki,0.306,-0.434,0.178,pansy
osa,0.326,-0.444,-0.28,part
osajoukko,-0.142,-0.284,-0.192,subset
osakas,0.312,0.264,0.83,shareholder
osakehuoneisto,-0.122,-0.424,0.214,condo
osakkeenomistaja,0.146,0.25,0.432,stockholder
osaksi,-0.17,-0.18,-0.208,partly
osallistua,0.51,0.16,0.368,participate
osallistuja,0.424,0.196,0.226,participant
osallistuminen,0.562,0.4,0.404,participation
osamäärä,0.23,-0.42,0.16,quotient
osasto,0.416,-0.284,0.284,department
osastokohtainen,0.224,-0.156,-0.108,departmental
osavaltio,0.124,-0.36,0.208,state
osinko,0.166,-0.018,0.132,dividend
osittain,-0.164,-0.264,-0.208,partially
osittainen,-0.142,-0.352,-0.304,partial
ositus,0.23,-0.062,0.134,partition
osoite,0.3,-0.346,0.134,address
osoitetu,0.234,0.0,0.298,demonstrated
osoitin,0.166,-0.236,0.0,pointer
osoittaa,0.542,0.104,0.678,demonstrate
osoittaja,-0.02,-0.366,0.052,numerator
osoittautua,0.282,0.384,0.796,turnout
osoitus,0.438,-0.136,0.5,indication
ostaa,0.542,0.538,0.224,buy
ostaja,0.226,0.038,0.298,buyer
ostajaehdokas,-0.25,0.042,0.236,taker
ostaminen,0.33,0.568,0.178,buying
osteri,0.0,-0.378,-0.346,oyster
ostohyvitys,0.334,0.138,0.02,rebate
ostokset,0.83,-0.11,0.26,shopping
ostoskeskus,0.448,0.326,-0.016,mall
osuma,-0.53,0.862,0.358,hit
osuus,0.0,-0.462,-0.158,section
osuuskunta,0.632,-0.078,0.34,cooperative
osuva,0.164,-0.164,-0.236,apt
otaksua,0.176,-0.062,0.0,presuppose
otaksuma,-0.208,-0.204,0.068,conjecture
otaksuttu,0.02,-0.04,-0.18,putative
ote,0.04,0.098,0.204,grip
otollinen,0.592,0.076,0.534,opportune
otos,0.146,0.156,0.176,snapshot
otsa,-0.06,-0.384,0.112,forehead
otsanauha,0.34,-0.062,0.054,headband
otsikko,0.26,-0.518,0.37,headline
otsoni,0.12,-0.31,0.036,ozone
ottaa,0.656,0.074,-0.304,take
ottelu,0.198,0.146,0.0,match
otto,0.208,0.054,-0.116,intake
outo,-0.47,-0.326,-0.396,odd
ovela,0.208,0.37,0.366,cunning
oveluus,0.23,-0.648,-0.274,subtlety
ovennuppi,-0.188,0.106,-0.076,doorknob
ovi,0.098,-0.622,-0.158,door
oviaukko,0.146,-0.392,-0.008,doorway
ovikello,0.128,0.0,-0.386,doorbell
ovimies,0.14,-0.258,-0.018,doorman
ovisilmä,-0.042,0.0,-0.38,peephole
paahdettu,0.23,0.04,-0.322,roasted
paahtaa,0.02,-0.192,-0.34,broil
paahtava,-0.438,0.25,0.034,torrid
paahtoleipä,0.48,-0.236,-0.288,toast
paakku,-0.25,-0.192,-0.27,clod
paali,-0.126,-0.274,-0.176,bale
paaluaita,-0.25,-0.196,0.0,stockade
paarit,-0.124,-0.608,-0.41,stretcher
paasaus,-0.562,0.548,-0.036,rant
paasto,-0.224,-0.26,-0.212,fasting
paatos,-0.3,-0.102,-0.076,pathos
paavi,0.2,-0.25,0.272,pope
paavillinen,-0.014,-0.392,0.118,papal
paavius,-0.038,-0.474,0.106,papacy
padota,-0.5,0.106,-0.212,dam
paeta,-0.416,0.592,-0.536,flee
pagodi,0.142,-0.482,-0.13,pagoda
paha,-0.92,0.654,0.09,evil
pahaenteinen,-0.49,0.46,0.02,ominous
pahahenki,-0.708,0.806,0.216,fiend
pahamaineinen,-0.708,0.16,-0.056,infamous
pahamaineisuus,-0.584,0.26,-0.416,disrepute
pahanhajuinen,-0.8,0.056,-0.51,smelly
pahanilkinen,-0.646,0.53,0.214,malicious
pahanilkisyys,-0.854,0.622,-0.016,malice
pahanilmanlintu,-0.326,0.164,-0.254,jinx
pahankurinen,-0.604,0.624,-0.26,crabby
pahanlaatuinen,-0.714,0.648,-0.26,malignant
pahanlaatuisuus,-0.702,0.628,0.228,malignancy
pahansisuinen,-0.714,0.416,-0.186,grouchy
pahansuopa,-0.854,0.42,-0.34,spiteful
pahansuopuus,-0.84,0.2,-0.366,spite
pahanteko,-0.23,0.668,-0.416,mischief
pahantuulinen,-0.604,0.616,0.118,grumpy
pahe,-0.408,0.556,-0.04,vice
paheksua,-0.68,0.188,-0.11,disapprove
paheksunta,-0.83,0.102,-0.266,disapproval
paheksuttava,-0.73,0.314,-0.54,deplorable
paheneminen,-0.77,0.37,-0.596,worsening
pahentaa,-0.354,0.552,0.16,exacerbate
pahis,-0.49,0.55,0.49,badass
pahoillaan,-0.666,-0.04,-0.624,regretful
pahoinpitelijä,-0.75,0.7,0.0,mugger
pahoinpitely,-0.58,0.596,-0.02,battering
pahoinvointi,-0.792,0.562,-0.454,nausea
pahoinvointinen,-0.5,0.174,-0.55,queasy
pahoinvoiva,-0.73,0.56,-0.432,nauseous
paholainen,-0.678,0.8,0.222,devil
paholaisen,-0.796,0.824,-0.088,diabolical
pahus,-0.52,0.456,0.12,heck
pahuus,-0.812,0.646,-0.074,badness
pahvi,0.0,-0.654,-0.382,cardboard
paikallinen,-0.02,-0.08,0.242,localized
paikallistaa,0.04,-0.038,0.358,localize
paikannin,-0.04,-0.148,0.228,locator
paikannus,0.23,-0.02,0.59,positioning
paikannäyttäjä,0.042,-0.12,0.038,usher
paikantaa,0.166,0.04,0.572,locate
paikantaminen,0.104,-0.34,0.09,localization
paikata,0.084,-0.128,0.204,mend
paikka,0.146,-0.478,-0.204,place
paikkakunta,0.164,-0.328,-0.072,locality
paikkakuntalainen,0.312,-0.462,-0.096,local
paikkansapitämätön,-0.72,0.138,-0.49,incorrect
paikkansapitävä,0.714,-0.388,0.446,correct
paimen,0.312,-0.392,0.22,shepherd
painajainen,-0.99,0.62,-0.128,nightmare
painatus,0.292,0.308,0.23,printing
painautua,0.25,-0.384,-0.242,nestle
painava,-0.146,-0.04,0.314,weighty
paine,-0.28,0.3,0.246,pressure
paini,-0.102,0.736,0.548,wrestling
painia,-0.224,0.78,0.53,wrestle
painija,0.04,0.726,0.822,wrestler
paino,-0.1,-0.24,0.154,weight
painokas,0.23,0.414,0.464,emphatic
painolasti,-0.292,-0.154,-0.426,ballast
painos,0.084,-0.09,0.128,edition
painostaa,-0.48,0.482,0.034,coerce
painostava,-0.346,-0.266,-0.334,brooding
painoton,-0.08,-0.148,-0.25,weightless
painottaa,0.02,0.21,0.538,emphasize
painotus,0.306,0.49,0.632,emphasis
painovirhe,-0.346,0.056,-0.128,erratum
painovoima,0.02,0.27,0.076,gravity
painovoimainen,0.056,0.02,0.382,gravitational
painua,-0.694,0.156,-0.11,sag
paise,-0.692,-0.098,-0.302,abscess
paiskata,-0.368,0.49,0.148,hurl
paistaa,0.688,0.078,0.482,shine
paistatella,0.52,-0.34,-0.238,bask
paistettu,-0.042,-0.036,-0.328,fried
paisti,0.042,0.082,-0.378,roast
paistinkastike,0.216,-0.1,-0.322,gravy
paistinpannu,0.02,-0.408,-0.31,skillet
paistinvarras,-0.06,-0.27,-0.086,skewer
paistoliemi,-0.396,-0.486,-0.466,dripping
paistua,0.04,0.22,-0.352,fry
paisunut,-0.666,0.186,-0.152,bloated
paisutella,-0.39,0.138,-0.076,inflate
paisutteleva,-0.394,-0.138,0.234,inflated
paisuva,0.084,0.592,0.25,erectile
paita,0.396,-0.628,-0.538,shirt
paitsio,-0.354,0.038,-0.114,offside
paju,0.208,-0.51,-0.2,willow
pakahduttava,-0.346,0.66,0.28,overwhelming
pakana,-0.612,0.058,-0.018,heathen
pakanallinen,-0.416,0.156,0.084,pagan
pakanuus,-0.52,0.28,-0.178,paganism
pakara,-0.142,0.2,-0.424,buttock
pakastin,-0.208,-0.188,-0.186,freezer
pakata,0.02,-0.306,-0.05,pack
paketointi,0.208,-0.214,0.098,packaging
paketti,0.142,-0.134,-0.114,package
pakettiauto,0.122,-0.244,-0.15,van
pakettilähetys,0.32,-0.352,-0.178,parcel
pakkaaja,0.04,-0.04,0.074,packer
pakkaus,0.164,-0.23,-0.186,packet
pakki,0.166,-0.312,-0.16,kit
pakko,-0.396,0.138,0.224,duress
pakkolunastus,-0.624,0.47,0.576,expropriation
pakkoluovutus,-0.044,0.02,0.298,requisition
pakkomielle,-0.542,0.694,0.142,obsession
pakkomielteenomainen,-0.562,0.646,-0.04,obsessive
pakkomielteinen,-0.562,0.68,-0.122,obsessed
pakko-ottaa,0.104,0.278,0.862,commandeer
pakkopaita,-0.552,0.438,0.158,straitjacket
